Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,player_id,gamelog_url
1988-89,23.0,DET,NBA,SF,2.0,0.0,4.0,2.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.8,0.0,0.0,0.0,-0.15,-9.7,0.9,-8.8,0.0,,dembofe01,
1992-93,24.0,CHH,NBA,SG,9.0,9.0,353.0,13.3,0.44,0.037,0.216,8.6,6.8,7.7,12.1,3.1,1.1,9.7,24.5,-0.1,0.4,0.3,0.043,-0.3,-0.6,-0.9,0.1,,gillke01,
1993-94,25.0,SEA,NBA,SG,5.0,5.0,153.0,15.5,0.484,0.15,0.35,5.1,12.8,8.9,13.3,2.1,0.5,8.0,22.8,0.1,0.2,0.3,0.104,1.4,0.3,1.7,0.1,,gillke01,
1994-95,26.0,SEA,NBA,SG,4.0,0.0,72.0,10.5,0.438,0.32,0.32,1.7,5.2,3.4,22.4,3.1,1.4,12.3,20.5,0.0,0.1,0.1,0.046,-1.5,1.1,-0.3,0.0,,gillke01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gillke01,
1997-98,29.0,NJN,NBA,SF,3.0,3.0,100.0,13.7,0.494,0.0,0.2,4.0,11.8,8.2,5.3,2.2,0.8,8.4,22.9,0.1,0.0,0.1,0.045,-1.7,0.0,-1.7,0.0,,gillke01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gillke01,
2002-03,34.0,MIN,NBA,SG,6.0,0.0,118.0,8.9,0.467,0.148,0.519,6.3,6.2,6.2,8.7,1.7,0.6,10.8,14.2,0.0,0.0,0.0,0.018,-1.4,0.1,-1.4,0.0,,gillke01,
1983-84,23.0,WSB,NBA,SF,3.0,,15.0,0.7,0.34,0.0,0.4,0.0,0.0,0.0,9.3,0.0,4.1,14.5,21.9,-0.1,0.0,0.0,-0.128,-5.7,-2.3,-8.0,0.0,,dayeda01,
1984-85,24.0,WSB,NBA,SF,4.0,4.0,85.0,16.9,0.553,0.0,0.533,7.6,8.5,8.0,25.8,1.7,0.0,13.9,21.3,0.1,0.1,0.2,0.106,2.5,1.5,4.0,0.1,,dayeda01,
1985-86,25.0,WSB,NBA,SF,4.0,0.0,32.0,-3.0,0.311,0.0,0.167,9.6,17.6,13.4,0.0,0.0,0.0,28.0,23.6,-0.2,0.0,-0.2,-0.284,-10.2,-6.8,-17.1,-0.1,,dayeda01,
1986-87,26.0,BOS,NBA,SF,23.0,1.0,240.0,14.4,0.657,0.0,0.514,5.7,10.1,8.0,7.7,1.9,0.7,16.9,19.1,0.4,0.1,0.5,0.102,0.2,1.0,1.2,0.2,,dayeda01,
2017-18,21.0,GSW,NBA,C,21.0,5.0,387.0,12.1,0.529,0.028,0.292,12.5,12.7,12.6,6.5,1.8,1.8,9.0,10.3,0.6,0.6,1.2,0.15,-1.5,0.8,-0.7,0.1,,looneke01,
2018-19,22.0,GSW,NBA,C,21.0,1.0,432.0,16.5,0.704,0.0,0.312,11.2,13.7,12.5,6.6,1.4,2.5,10.9,12.0,1.3,0.1,1.4,0.156,0.2,0.5,0.7,0.3,,looneke01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,looneke01,
2021-22,25.0,GSW,NBA,C,22.0,13.0,448.0,18.3,0.662,0.0,0.205,16.2,25.6,21.0,14.6,1.0,2.2,16.5,11.3,1.3,0.6,1.9,0.205,1.1,2.0,3.1,0.6,,looneke01,
2022-23,26.0,GSW,NBA,C,13.0,8.0,325.0,18.8,0.584,0.0,0.281,19.1,35.1,27.0,17.4,1.2,1.3,15.3,10.8,0.8,0.6,1.4,0.206,1.4,1.8,3.1,0.4,,looneke01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,looneke01,
2024-25,28.0,GSW,NBA,C,12.0,0.0,120.0,12.5,0.49,0.0,0.348,15.3,25.9,20.4,4.9,2.1,3.1,7.0,10.5,0.2,0.2,0.4,0.144,-4.4,1.1,-3.3,0.0,,looneke01,
2024-25,28.0,GSW,NBA,PG,8.0,0.0,63.0,19.4,0.684,0.12,0.12,8.6,11.4,9.9,18.6,2.4,0.0,18.6,22.6,0.1,0.1,0.2,0.131,-0.2,2.0,1.8,0.1,,spencpa01,
1979-80,23.0,BOS,NBA,PF,9.0,,372.0,18.3,0.511,0.085,0.141,6.7,24.5,15.5,17.7,1.9,1.3,14.9,25.2,0.3,0.8,1.1,0.136,3.5,0.9,4.3,0.6,,birdla01,
1980-81,24.0,BOS,NBA,PF,17.0,,750.0,21.8,0.532,0.026,0.272,7.6,26.7,17.6,20.8,2.6,1.3,15.0,23.2,1.4,1.7,3.1,0.198,5.5,2.1,7.7,1.8,,birdla01,
