Date,Team,Unnamed: 3,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,player_id
2025-04-13,PHO,@,SAC,"L, 98-109",,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3.0,bolbo01
2025-04-04,PHO,@,BOS,"L, 103-123",,2,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,1.4,1.0,bolbo01
2025-03-30,PHO,,HOU,"L, 109-148",,9,3,5,0.6,1,3,0.333,0,0,,0,0,0,1,0,0,2,0,7,3.4,-6.0,bolbo01
2025-03-26,PHO,,BOS,"L, 102-132",,6,3,3,1.0,2,2,1.0,0,0,,0,1,1,0,1,1,0,0,8,9.1,3.0,bolbo01
2025-03-17,PHO,,TOR,"W, 129-89",,6,2,2,1.0,0,0,,0,0,,0,1,1,1,0,0,0,0,4,4.4,8.0,bolbo01
2025-04-11,ATL,@,PHI,"W, 124-110",,17,6,14,0.429,4,8,0.5,0,0,,1,2,3,0,0,0,2,2,16,7.1,8.0,niangge01
2025-04-10,ATL,@,BRK,"W, 133-109",,19,4,5,0.8,3,4,0.75,0,0,,0,0,0,1,0,0,1,2,11,8.0,8.0,niangge01
2025-04-08,ATL,@,ORL,"L, 112-119",,20,4,10,0.4,1,5,0.2,0,0,,0,1,1,0,0,1,2,3,9,1.4,-2.0,niangge01
2025-04-06,ATL,,UTA,"W, 147-134",*,19,2,5,0.4,2,5,0.4,0,0,,0,1,1,4,0,0,2,2,6,3.6,-1.0,niangge01
2025-04-05,ATL,,NYK,"L, 105-121",,25,5,16,0.313,3,13,0.231,0,0,,0,4,4,1,0,0,3,2,13,1.9,-23.0,niangge01
2025-05-28,MIN,@,OKC,"L, 94-124",*,39,7,18,0.389,1,7,0.143,4,6,0.667,0,6,6,2,0,1,3,2,19,8.5,-29.0,edwaran01
2025-05-26,MIN,,OKC,"L, 126-128",*,41,5,13,0.385,1,7,0.143,5,7,0.714,1,3,4,6,0,0,5,3,16,7.7,-3.0,edwaran01
2025-05-24,MIN,,OKC,"W, 143-101",*,30,12,17,0.706,5,8,0.625,1,2,0.5,1,8,9,6,2,0,4,2,30,27.0,36.0,edwaran01
2025-05-22,MIN,@,OKC,"L, 103-118",*,40,12,26,0.462,1,9,0.111,7,10,0.7,2,7,9,6,0,1,0,1,32,25.4,-22.0,edwaran01
2025-05-20,MIN,@,OKC,"L, 88-114",*,37,5,13,0.385,3,8,0.375,5,7,0.714,0,9,9,3,0,1,4,4,18,10.0,-23.0,edwaran01
2025-04-13,POR,,LAL,"W, 109-81",,23,4,9,0.444,0,0,,2,2,1.0,0,2,2,1,0,0,0,0,10,6.6,0.0,walkeja01
2025-04-11,POR,,GSW,"L, 86-103",,20,6,10,0.6,2,3,0.667,5,6,0.833,1,5,6,1,2,0,2,2,19,16.1,1.0,walkeja01
2025-04-09,POR,@,UTA,"L, 126-133 (OT)",,33,7,11,0.636,0,3,0.0,1,3,0.333,2,5,7,0,1,0,4,5,15,7.2,-4.0,walkeja01
2025-04-06,POR,,SAS,"W, 120-109",,21,4,5,0.8,1,2,0.5,1,2,0.5,1,3,4,0,0,0,1,0,10,8.3,7.0,walkeja01
2025-04-04,POR,@,CHI,"L, 113-118",,20,3,7,0.429,1,3,0.333,0,0,,3,3,6,4,0,0,0,3,7,7.9,-1.0,walkeja01
2025-01-25,DAL,,BOS,"L, 107-122",,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,gortmja01
2025-01-03,DAL,,CLE,"L, 122-134",,4,1,3,0.333,1,3,0.333,0,0,,0,0,0,1,0,0,0,1,3,1.6,7.0,gortmja01
2025-01-01,DAL,@,HOU,"L, 99-110",,2,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,4.0,gortmja01
2024-12-30,DAL,@,SAC,"L, 100-110",,8,2,3,0.667,0,0,,1,2,0.5,0,2,2,1,1,0,3,3,5,1.4,10.0,gortmja01
2024-12-28,DAL,@,POR,"L, 122-126",,5,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,7.0,gortmja01
2025-02-22,PHI,,BRK,"L, 103-105",*,31,4,13,0.308,0,6,0.0,6,6,1.0,2,5,7,5,0,1,3,1,14,10.2,-7.0,embiijo01
2025-02-20,PHI,,BOS,"L, 104-124",*,27,3,9,0.333,0,2,0.0,9,9,1.0,1,2,3,4,0,0,2,2,15,11.2,-20.0,embiijo01
2025-02-11,PHI,,TOR,"L, 103-106",*,38,8,19,0.421,1,5,0.2,10,13,0.769,5,7,12,4,1,1,4,1,27,21.4,1.0,embiijo01
2025-02-09,PHI,@,MIL,"L, 127-135",*,30,7,14,0.5,4,7,0.571,9,10,0.9,2,10,12,6,1,1,5,4,27,23.3,-6.0,embiijo01
2025-02-07,PHI,@,DET,"L, 112-125",*,30,7,18,0.389,1,4,0.25,8,10,0.8,0,7,7,6,0,2,2,3,23,16.9,-19.0,embiijo01
2025-05-04,HOU,,GSW,"L, 89-103",,16,2,6,0.333,1,2,0.5,0,2,0.0,1,4,5,1,0,2,2,0,5,2.8,-12.0,easonta01
2025-05-02,HOU,@,GSW,"W, 115-107",,16,3,4,0.75,2,3,0.667,0,0,,0,2,2,1,4,1,0,2,8,11.6,2.0,easonta01
2025-04-30,HOU,,GSW,"W, 131-116",,19,4,5,0.8,1,2,0.5,0,0,,0,5,5,1,0,0,3,4,9,4.7,-13.0,easonta01
2025-04-28,HOU,@,GSW,"L, 106-109",,17,0,1,0.0,0,1,0.0,3,4,0.75,0,2,2,1,2,1,2,2,3,3.1,3.0,easonta01
2025-04-26,HOU,@,GSW,"L, 93-104",,19,3,9,0.333,1,5,0.2,1,2,0.5,1,5,6,0,0,2,1,3,8,3.9,1.0,easonta01
2025-04-09,TOR,,CHO,"W, 126-96",*,34,4,10,0.4,0,4,0.0,1,2,0.5,5,7,12,3,0,0,1,5,9,7.9,16.0,robinor01
2025-04-06,TOR,@,BRK,"W, 120-109",,22,5,7,0.714,0,0,,1,2,0.5,6,1,7,3,0,0,3,2,11,10.5,8.0,robinor01
2025-04-04,TOR,,DET,"L, 105-117",,16,1,6,0.167,0,2,0.0,3,4,0.75,1,2,3,1,0,0,3,5,5,-2.2,-10.0,robinor01
2025-04-03,TOR,,POR,"L, 103-112",*,27,6,12,0.5,2,3,0.667,0,0,,3,2,5,3,1,0,0,1,14,13.4,-5.0,robinor01
2025-04-01,TOR,@,CHI,"L, 118-137",,21,4,11,0.364,3,7,0.429,2,2,1.0,1,2,3,2,0,1,1,5,13,7.3,-8.0,robinor01
2025-05-16,BOS,@,NYK,"L, 81-119",*,27,4,7,0.571,2,4,0.5,0,0,,1,1,2,0,0,0,1,2,10,5.9,-33.0,horfoal01
2025-05-14,BOS,,NYK,"W, 127-102",*,24,5,7,0.714,2,3,0.667,0,0,,1,4,5,2,0,1,1,5,12,10.1,11.0,horfoal01
2025-05-12,BOS,@,NYK,"L, 113-121",*,38,1,2,0.5,1,2,0.5,2,2,1.0,0,5,5,4,2,0,0,4,5,8.7,-8.0,horfoal01
2025-05-10,BOS,@,NYK,"W, 115-93",*,35,6,9,0.667,3,4,0.75,0,0,,3,6,9,1,0,2,0,0,15,17.1,12.0,horfoal01
2025-05-07,BOS,,NYK,"L, 90-91",*,29,2,11,0.182,0,5,0.0,0,0,,2,2,4,0,3,1,1,4,4,0.2,-11.0,horfoal01
2025-04-28,MIA,,CLE,"L, 83-138",,7,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,1,1,2,1.0,-1.0,johnske10
2025-04-20,MIA,@,CLE,"L, 100-121",,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,johnske10
2025-04-13,MIA,,WAS,"L, 118-119",,28,7,9,0.778,2,3,0.667,1,1,1.0,3,5,8,1,2,0,1,4,17,17.2,-1.0,johnske10
2025-04-11,MIA,@,NOP,"W, 153-104",,7,4,5,0.8,0,0,,2,2,1.0,1,1,2,0,1,0,0,1,10,9.7,5.0,johnske10
2025-04-07,MIA,,PHI,"W, 117-105",,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4.0,johnske10
2025-04-13,MEM,,DAL,"W, 132-97",,28,3,8,0.375,3,7,0.429,3,3,1.0,0,5,5,5,1,0,1,1,12,12.2,29.0,kawamyu01
2025-04-10,MEM,,MIN,"L, 125-141",,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2.0,kawamyu01
2025-02-12,MEM,@,LAC,"L, 114-128",,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1.0,kawamyu01
2025-02-05,MEM,@,TOR,"W, 138-107",,4,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,0.0,3.0,kawamyu01
2025-02-03,MEM,,SAS,"W, 128-109",,2,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-2.0,kawamyu01
2025-04-13,CLE,,IND,"L, 118-126 (2OT)",*,47,8,21,0.381,2,8,0.25,6,8,0.75,6,6,12,2,0,1,1,6,24,16.4,9.0,tomlina01
2025-04-02,CLE,,NYK,"W, 124-105",,2,1,3,0.333,0,0,,0,0,,2,1,3,0,0,0,0,1,2,1.6,0.0,tomlina01
2025-02-25,CLE,@,ORL,"W, 122-82",,4,1,3,0.333,0,0,,0,0,,0,2,2,0,0,0,0,0,2,0.9,2.0,tomlina01
2025-02-21,CLE,,NYK,"W, 142-105",,7,2,4,0.5,0,2,0.0,1,1,1.0,1,2,3,0,0,0,1,1,5,2.9,2.0,tomlina01
2025-02-20,CLE,@,BRK,"W, 110-97",,3,1,1,1.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,1,3,2.2,-6.0,tomlina01
2025-04-29,ORL,@,BOS,"L, 89-120",*,30,3,9,0.333,2,7,0.286,0,0,,0,3,3,1,1,0,1,0,8,4.5,-18.0,caldwke01
2025-04-27,ORL,,BOS,"L, 98-107",*,32,2,4,0.5,2,4,0.5,2,2,1.0,0,2,2,4,2,2,0,3,8,11.6,4.0,caldwke01
2025-04-25,ORL,,BOS,"W, 95-93",*,32,0,3,0.0,0,2,0.0,0,0,,1,1,2,2,1,1,1,2,0,0.2,-10.0,caldwke01
2025-04-23,ORL,@,BOS,"L, 100-109",*,35,1,9,0.111,0,6,0.0,1,2,0.5,0,4,4,0,0,0,0,2,3,-2.9,-6.0,caldwke01
2025-04-20,ORL,@,BOS,"L, 86-103",*,35,2,5,0.4,2,4,0.5,0,0,,0,4,4,2,3,0,0,4,6,7.3,-11.0,caldwke01
2025-04-11,DAL,,TOR,"W, 124-102",*,27,6,8,0.75,2,2,1.0,0,2,0.0,2,6,8,4,1,0,0,0,14,17.0,23.0,washipj01
2025-04-09,DAL,,LAL,"L, 97-112",*,33,4,12,0.333,3,7,0.429,3,4,0.75,1,4,5,3,2,1,5,1,14,8.1,-25.0,washipj01
2025-04-05,DAL,@,LAC,"L, 104-135",*,30,3,7,0.429,0,3,0.0,6,8,0.75,0,5,5,1,0,3,2,1,12,9.4,-29.0,washipj01
2025-04-04,DAL,@,LAC,"L, 91-114",*,28,4,7,0.571,1,2,0.5,0,2,0.0,0,10,10,2,0,0,3,0,9,6.3,-27.0,washipj01
2025-03-31,DAL,,BRK,"L, 109-113",*,31,4,7,0.571,2,3,0.667,3,4,0.75,0,5,5,2,0,0,2,3,13,9.0,-14.0,washipj01
2025-04-29,ORL,@,BOS,"L, 89-120",,15,1,1,1.0,1,1,1.0,0,0,,1,0,1,1,0,0,0,0,3,4.1,-18.0,harriga01
2025-04-27,ORL,,BOS,"L, 98-107",,18,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,4,0,-2.0,-13.0,harriga01
2025-04-25,ORL,,BOS,"W, 95-93",,22,0,2,0.0,0,2,0.0,0,0,,0,2,2,0,1,1,0,2,0,0.1,9.0,harriga01
2025-04-23,ORL,@,BOS,"L, 100-109",,13,2,2,1.0,0,0,,0,0,,0,0,0,2,2,0,0,1,4,6.4,-3.0,harriga01
2025-04-20,ORL,@,BOS,"L, 86-103",,14,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-7.0,harriga01
2025-02-10,POR,@,DEN,"L, 117-146",*,19,5,9,0.556,0,0,,0,0,,0,0,0,0,0,1,2,4,10,2.8,-12.0,aytonde01
2025-02-08,POR,@,MIN,"L, 98-114",*,32,2,6,0.333,0,0,,2,4,0.5,5,9,14,2,0,1,4,2,6,5.3,-23.0,aytonde01
2025-02-06,POR,,SAC,"W, 108-102",*,31,7,14,0.5,0,0,,4,4,1.0,3,5,8,4,0,2,1,2,18,17.0,-2.0,aytonde01
2025-02-04,POR,,IND,"W, 112-89",*,22,4,8,0.5,0,0,,0,0,,2,7,9,2,2,1,2,4,8,8.0,3.0,aytonde01
2025-02-03,POR,,PHO,"W, 121-119 (OT)",*,42,9,22,0.409,0,1,0.0,7,8,0.875,9,11,20,2,1,1,0,3,25,24.3,13.0,aytonde01
2025-01-17,MIL,,TOR,"W, 130-112",,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1.0,robbili01
2025-01-15,MIL,,ORL,"W, 122-93",,6,0,0,,0,0,,3,4,0.75,1,0,1,0,1,0,2,2,3,1.5,2.0,robbili01
2025-01-14,MIL,,SAC,"W, 130-115",,3,0,1,0.0,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-0.4,-6.0,robbili01
2025-01-12,MIL,@,NYK,"L, 106-140",,6,0,1,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,1,1,0,-1.4,-6.0,robbili01
2025-01-08,MIL,,SAS,"W, 121-105",,3,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-4.0,robbili01
2025-02-08,NOP,@,SAC,"L, 118-123",,15,3,8,0.375,3,5,0.6,2,4,0.5,1,1,2,0,2,1,2,3,11,6.3,-10.0,bostobr01
2025-01-31,NOP,,BOS,"L, 116-118",,30,5,11,0.455,0,3,0.0,0,0,,0,5,5,2,0,0,2,3,10,4.0,-7.0,bostobr01
2025-01-29,NOP,,DAL,"L, 136-137",,21,5,11,0.455,1,2,0.5,1,2,0.5,0,1,1,0,4,0,0,1,12,9.8,-12.0,bostobr01
2025-01-15,NOP,,DAL,"W, 119-116",,15,4,8,0.5,1,2,0.5,0,0,,0,3,3,1,0,0,0,1,9,6.2,-5.0,bostobr01
