Season,Age,Team,Lg,G,FG,FGA,FG%,FT,FTA,FT%,AST,PF,PTS,Awards,player_id,Pos,GS,MP,3P,3PA,2P,2PA,ORB,DRB,TRB,STL,BLK,TOV,3P%,2P%,eFG%
1947-48,25.0,NYK,BAA,3.0,1.0,3.3,0.3,0.7,0.7,1.0,0.0,4.0,2.7,,kukara01,,,,,,,,,,,,,,,,
1985-86,23.0,POR,NBA,2.0,0.0,0.0,,0.0,0.0,,0.0,0.5,0.0,,johnske01,PF,0.0,5.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,,,
1974-75,23.0,SEA,NBA,4.0,0.3,2.0,0.125,0.5,0.5,1.0,0.3,0.8,1.0,,tolsode01,PF,,5.5,,,,,1.0,0.8,1.8,0.0,0.0,,,,
1984-85,22.0,UTA,NBA,10.0,2.1,4.5,0.467,2.6,3.5,0.743,4.3,3.0,6.8,,stockjo01,PG,0.0,18.6,0.0,0.2,2.1,4.3,0.7,2.1,2.8,1.1,0.2,1.6,0.0,0.488,0.467
1985-86,23.0,UTA,NBA,4.0,2.3,4.3,0.529,2.0,2.3,0.889,3.5,2.5,6.8,,stockjo01,PG,0.0,18.3,0.3,0.3,2.0,4.0,0.8,0.8,1.5,1.3,0.0,1.0,1.0,0.5,0.559
1986-87,24.0,UTA,NBA,5.0,3.6,5.8,0.621,2.0,2.6,0.769,8.0,3.6,10.0,,stockjo01,PG,2.0,31.4,0.8,1.0,2.8,4.8,0.4,1.8,2.2,3.0,0.2,2.2,0.8,0.583,0.69
1987-88,25.0,UTA,NBA,11.0,6.2,12.2,0.507,6.8,8.3,0.824,14.8,3.3,19.5,,stockjo01,PG,11.0,43.5,0.4,1.3,5.8,10.9,1.3,2.8,4.1,3.4,0.3,4.4,0.286,0.533,0.522
1988-89,26.0,UTA,NBA,3.0,10.0,19.7,0.508,6.3,7.0,0.905,13.7,5.0,27.3,,stockjo01,PG,3.0,46.3,1.0,1.3,9.0,18.3,0.7,2.7,3.3,3.7,1.7,3.7,0.75,0.491,0.534
1989-90,27.0,UTA,NBA,5.0,5.8,13.8,0.42,3.2,4.0,0.8,15.0,4.0,15.0,,stockjo01,PG,5.0,38.8,0.2,2.6,5.6,11.2,0.8,2.4,3.2,1.2,0.0,2.8,0.077,0.5,0.428
1990-91,28.0,UTA,NBA,9.0,6.4,12.0,0.537,4.1,4.9,0.841,13.8,3.7,18.2,,stockjo01,PG,9.0,41.4,1.2,3.0,5.2,9.0,1.1,3.6,4.7,2.2,0.2,3.6,0.407,0.58,0.588
1991-92,29.0,UTA,NBA,16.0,4.8,11.4,0.423,4.1,4.9,0.833,13.6,2.4,14.8,,stockjo01,PG,16.0,38.9,1.1,3.6,3.7,7.8,0.6,2.3,2.9,2.1,0.3,3.6,0.31,0.476,0.473
1992-93,30.0,UTA,NBA,5.0,4.6,10.2,0.451,3.0,3.6,0.833,11.0,3.2,13.2,,stockjo01,PG,5.0,38.6,1.0,2.6,3.6,7.6,1.0,1.4,2.4,2.4,0.0,3.0,0.385,0.474,0.5
1993-94,31.0,UTA,NBA,16.0,5.5,12.1,0.456,3.2,3.9,0.81,9.8,2.8,14.4,,stockjo01,PG,16.0,37.3,0.3,1.5,5.3,10.6,0.9,2.4,3.3,1.7,0.5,2.5,0.167,0.497,0.466
1994-95,32.0,UTA,NBA,5.0,6.8,14.8,0.459,2.6,3.4,0.765,10.2,2.6,17.8,,stockjo01,PG,5.0,38.6,1.6,4.0,5.2,10.8,1.2,2.2,3.4,1.4,0.2,2.8,0.4,0.481,0.514
1995-96,33.0,UTA,NBA,18.0,3.9,8.7,0.446,2.7,3.3,0.814,10.8,2.8,11.1,,stockjo01,PG,18.0,37.7,0.6,2.1,3.3,6.6,0.8,2.4,3.2,1.6,0.4,3.2,0.289,0.496,0.481
1996-97,34.0,UTA,NBA,20.0,5.7,10.9,0.521,3.9,4.5,0.856,9.6,2.6,16.1,,stockjo01,PG,20.0,37.0,1.0,2.5,4.7,8.4,0.9,3.0,3.9,1.7,0.3,3.1,0.38,0.563,0.565
1997-98,35.0,UTA,NBA,20.0,4.1,8.2,0.494,2.6,3.6,0.718,7.8,2.7,11.1,,stockjo01,PG,20.0,29.8,0.5,1.3,3.6,6.9,0.8,2.2,3.0,1.6,0.2,2.4,0.346,0.522,0.521
1998-99,36.0,UTA,NBA,11.0,3.8,9.5,0.4,3.1,4.2,0.739,8.4,2.9,11.1,,stockjo01,PG,11.0,32.0,0.4,1.1,3.5,8.5,1.0,2.3,3.3,1.6,0.1,2.8,0.333,0.409,0.419
1999-00,37.0,UTA,NBA,10.0,4.1,8.9,0.461,2.3,3.0,0.767,10.3,3.0,11.2,,stockjo01,PG,10.0,35.0,0.7,1.8,3.4,7.1,0.7,2.3,3.0,1.3,0.2,2.6,0.389,0.479,0.5
2000-01,38.0,UTA,NBA,5.0,3.4,7.4,0.459,3.0,4.2,0.714,11.4,3.8,9.8,,stockjo01,PG,5.0,37.2,0.0,1.6,3.4,5.8,2.2,3.4,5.6,2.0,0.6,1.4,0.0,0.586,0.459
2001-02,39.0,UTA,NBA,4.0,4.5,10.0,0.45,3.0,3.3,0.923,10.0,4.0,12.5,,stockjo01,PG,4.0,35.3,0.5,1.8,4.0,8.3,0.8,3.3,4.0,2.8,0.3,2.0,0.286,0.485,0.475
2002-03,40.0,UTA,NBA,5.0,3.6,7.8,0.462,4.0,4.0,1.0,5.2,2.6,11.2,,stockjo01,PG,5.0,29.8,0.0,0.2,3.6,7.6,1.0,2.2,3.2,1.6,0.2,2.8,0.0,0.474,0.462
