Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,player_id,3P%
2008-09,23.0,ATL,NBA,C,3.0,0.0,8.0,0.0,4.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,,4.5,4.5,9.0,0.0,4.5,0.0,4.5,9.0,0.0,,morrira01,
2009-10,24.0,ATL,NBA,PF,3.0,0.0,10.0,3.6,7.2,0.5,0.0,0.0,3.6,7.2,0.5,0.5,3.6,3.6,1.0,3.6,3.6,7.2,0.0,0.0,0.0,0.0,10.8,10.8,,morrira01,
1973-74,24.0,LAL,NBA,SG,3.0,,14.0,2.6,18.0,0.143,,,,,,,10.3,12.9,0.8,5.1,0.0,5.1,5.1,2.6,2.6,,0.0,15.4,,hawthna01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hawthna01,
1975-76,26.0,PHO,NBA,SG,15.0,,81.0,4.0,11.6,0.346,,,,,,,3.6,4.9,0.727,2.2,4.9,7.1,1.8,2.2,0.4,,8.9,11.6,,hawthna01,
2011-12,21.0,ORL,NBA,PF,4.0,0.0,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,16.0,16.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,12.0,16.0,,ortonda01,
2001-02,27.0,DAL,NBA,SG,4.0,1.0,57.0,6.3,10.7,0.588,0.0,1.3,6.3,9.5,0.667,0.588,0.0,1.3,0.0,1.3,4.4,5.7,2.5,1.3,0.6,1.9,3.8,12.6,,griffad01,0.0
2002-03,28.0,DAL,NBA,SG,15.0,2.0,131.0,4.7,11.3,0.415,0.3,0.8,4.4,10.4,0.421,0.427,0.5,0.5,1.0,4.7,7.4,12.1,2.2,1.1,0.0,2.5,6.6,10.2,,griffad01,0.333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,griffad01,
2004-05,30.0,CHI,NBA,SF,5.0,0.0,86.0,6.3,12.1,0.517,0.0,0.0,6.3,12.1,0.517,0.517,1.7,2.1,0.8,2.1,6.3,8.4,3.8,2.1,0.0,1.3,5.9,14.2,,griffad01,
2005-06,31.0,DAL,NBA,SG,20.0,8.0,349.0,3.3,6.1,0.542,0.0,0.0,3.3,6.1,0.542,0.542,0.7,0.8,0.875,2.9,4.4,7.3,2.5,1.5,0.2,1.1,4.3,7.3,,griffad01,
2006-07,32.0,CHI,NBA,SF,4.0,0.0,9.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,,griffad01,
2017-18,19.0,OKC,NBA,SG,3.0,0.0,6.0,6.0,6.0,1.0,6.0,6.0,0.0,0.0,,1.5,0.0,0.0,,6.0,0.0,6.0,6.0,0.0,0.0,0.0,12.0,18.0,,fergute01,1.0
2018-19,20.0,OKC,NBA,SG,5.0,5.0,128.0,2.5,7.0,0.36,2.0,5.1,0.6,2.0,0.286,0.5,0.0,0.0,,0.6,2.8,3.4,1.7,0.6,0.0,1.4,5.3,7.0,,fergute01,0.389
2019-20,21.0,OKC,NBA,SF,4.0,1.0,42.0,1.7,9.4,0.182,1.7,8.6,0.0,0.9,0.0,0.273,0.0,0.0,,0.9,2.6,3.4,0.9,0.9,0.0,0.9,2.6,5.1,,fergute01,0.2
2006-07,21.0,CLE,NBA,SG,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,brownsh01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brownsh01,
2008-09,23.0,LAL,NBA,SG,21.0,0.0,276.0,4.7,10.8,0.434,1.6,3.3,3.1,7.6,0.414,0.506,2.5,3.1,0.792,1.0,2.2,3.3,1.7,1.3,0.3,1.3,3.5,13.4,,brownsh01,0.48
2009-10,24.0,LAL,NBA,SG,23.0,0.0,324.0,4.7,11.9,0.393,1.0,3.6,3.7,8.3,0.44,0.435,2.2,3.1,0.714,0.8,2.4,3.2,2.2,1.1,0.8,1.4,4.1,12.6,,brownsh01,0.281
2010-11,25.0,LAL,NBA,SG,10.0,0.0,166.0,6.1,13.2,0.459,1.5,5.4,4.6,7.8,0.583,0.516,2.0,3.0,0.643,1.1,3.0,4.1,1.5,1.3,0.4,2.0,2.2,15.6,,brownsh01,0.28
1971-72,25.0,DNR,ABA,PG,7.0,,99.0,4.4,9.8,0.444,0.7,1.1,3.6,8.7,0.417,0.481,1.5,1.8,0.8,,,6.5,2.5,,,2.5,5.1,10.9,,smithal01,0.667
1972-73,26.0,DNR,ABA,PG,5.0,,185.0,2.9,10.5,0.278,0.0,0.4,2.9,10.1,0.288,0.278,3.5,3.9,0.9,1.9,2.9,4.9,5.1,,,3.5,3.3,9.3,,smithal01,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smithal01,
1974-75,28.0,UTS,ABA,PG,6.0,,165.0,7.0,15.9,0.438,0.7,2.4,6.3,13.5,0.468,0.459,3.7,4.4,0.85,0.4,2.2,2.6,7.6,0.4,0.0,4.8,5.2,18.3,,smithal01,0.273
1985-86,23.0,SAC,NBA,PF,3.0,0.0,35.0,3.1,13.4,0.231,0.0,0.0,3.1,13.4,0.231,0.231,6.2,13.4,0.462,8.2,4.1,12.3,0.0,0.0,1.0,1.0,4.1,12.3,,thorpot01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thorpot01,
1988-89,26.0,HOU,NBA,PF,4.0,4.0,152.0,5.7,8.8,0.649,0.0,0.0,5.7,8.8,0.649,0.649,3.8,5.0,0.762,1.4,3.3,4.7,2.8,1.2,0.2,3.6,4.0,15.2,,thorpot01,
1989-90,27.0,HOU,NBA,PF,4.0,4.0,164.0,5.9,9.9,0.6,0.0,0.0,5.9,9.9,0.6,0.6,5.7,8.3,0.684,3.1,4.2,7.2,1.5,1.1,0.0,2.0,2.6,17.6,,thorpot01,
1990-91,28.0,HOU,NBA,PF,3.0,3.0,116.0,6.8,11.8,0.579,0.0,0.0,6.8,11.8,0.579,0.579,0.9,1.9,0.5,2.2,5.6,7.8,2.5,0.6,0.0,1.9,2.5,14.6,,thorpot01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thorpot01,
1992-93,30.0,HOU,NBA,PF,12.0,12.0,419.0,6.3,9.9,0.635,0.0,0.0,6.3,9.9,0.635,0.635,2.4,3.7,0.651,3.1,5.8,8.8,2.7,0.5,0.1,1.5,3.0,14.9,,thorpot01,
1993-94,31.0,HOU,NBA,PF,23.0,23.0,854.0,4.7,8.2,0.572,0.0,0.1,4.6,8.1,0.573,0.575,1.6,2.8,0.567,2.9,6.7,9.6,2.3,0.5,0.4,1.6,3.6,11.0,,thorpot01,0.5
1994-95,32.0,POR,NBA,PF,3.0,0.0,66.0,6.5,11.5,0.571,0.0,0.0,6.5,11.5,0.571,0.571,3.8,5.5,0.7,2.7,4.4,7.1,1.1,0.0,0.0,1.6,6.5,16.9,,thorpot01,
1995-96,33.0,DET,NBA,PF,3.0,3.0,101.0,4.6,8.6,0.542,0.0,0.0,4.6,8.6,0.542,0.542,3.2,4.3,0.75,5.0,7.5,12.5,2.5,0.0,0.0,2.5,3.2,12.5,,thorpot01,
1996-97,34.0,DET,NBA,C,5.0,5.0,152.0,5.0,9.7,0.512,0.0,0.0,5.0,9.7,0.512,0.512,1.7,2.1,0.778,2.8,4.7,7.6,0.9,0.5,0.0,2.1,5.0,11.6,,thorpot01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thorpot01,
1999-00,37.0,MIA,NBA,PF,10.0,0.0,136.0,3.4,7.1,0.481,0.0,0.3,3.4,6.9,0.5,0.481,1.9,3.7,0.5,1.6,6.1,7.7,0.8,0.0,0.5,2.9,7.7,8.7,,thorpot01,0.0
2000-01,38.0,CHH,NBA,PF,8.0,0.0,57.0,1.3,5.7,0.222,0.0,0.0,1.3,5.7,0.222,0.222,0.0,0.0,,3.8,6.9,10.7,0.0,0.0,0.0,1.3,5.1,2.5,,thorpot01,
2015-16,20.0,POR,NBA,PF,6.0,0.0,12.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,3.0,9.0,12.0,6.0,6.0,0.0,0.0,3.0,0.0,,vonleno01,
2016-17,21.0,POR,NBA,PF,4.0,2.0,100.0,2.9,6.5,0.444,0.0,0.0,2.9,6.5,0.444,0.444,0.7,1.8,0.4,3.2,7.2,10.4,2.9,0.4,1.1,2.2,4.0,6.5,,vonleno01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vonleno01,
2019-20,24.0,DEN,NBA,C,1.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,vonleno01,
2023-24,22.0,OKC,NBA,PF,10.0,10.0,377.0,7.2,15.3,0.469,1.4,3.7,5.7,11.6,0.496,0.516,2.1,2.6,0.815,1.2,5.3,6.5,5.2,1.6,0.5,1.8,2.0,17.9,,willija06,0.385
2024-25,23.0,OKC,NBA,SG,16.0,16.0,553.0,8.0,17.5,0.457,1.8,5.5,6.2,12.0,0.522,0.507,3.5,4.6,0.771,1.1,4.9,6.0,5.5,1.7,0.6,1.7,1.8,21.3,,willija06,0.318
1990-91,23.0,PHO,NBA,PG,4.0,0.0,56.0,8.4,16.7,0.5,0.6,1.9,7.7,14.8,0.522,0.519,3.2,4.5,0.714,0.6,1.9,2.6,5.8,0.6,0.0,2.6,4.5,20.6,,knighne01,0.333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knighne01,
1992-93,25.0,PHO,NBA,PG,9.0,1.0,34.0,9.5,16.9,0.563,0.0,0.0,9.5,16.9,0.563,0.563,0.0,0.0,,1.1,2.1,3.2,7.4,0.0,1.1,3.2,1.1,19.1,,knighne01,
1993-94,26.0,SAS,NBA,PG,4.0,0.0,108.0,4.3,13.7,0.317,0.0,1.0,4.3,12.7,0.342,0.317,3.7,4.0,0.917,1.0,1.0,2.0,4.0,1.0,0.0,2.3,3.0,12.3,,knighne01,0.0
1985-86,22.0,ATL,NBA,C,9.0,0.0,193.0,2.6,5.4,0.483,0.0,0.0,2.6,5.4,0.483,0.483,4.8,8.6,0.565,2.1,4.3,6.3,0.9,1.1,1.9,1.3,5.0,10.1,,koncajo01,
1986-87,23.0,ATL,NBA,C,8.0,0.0,86.0,2.9,5.4,0.538,0.0,0.0,2.9,5.4,0.538,0.538,2.5,3.3,0.75,2.1,8.4,10.5,1.3,1.3,1.7,0.0,10.0,8.4,,koncajo01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,koncajo01,
1988-89,25.0,ATL,NBA,C,5.0,5.0,192.0,3.4,5.4,0.621,0.0,0.0,3.4,5.4,0.621,0.621,5.2,6.2,0.848,3.0,6.0,9.0,0.7,0.4,1.5,1.5,4.3,12.0,,koncajo01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,koncajo01,
1990-91,27.0,ATL,NBA,C,5.0,5.0,133.0,1.1,3.8,0.286,0.0,0.0,1.1,3.8,0.286,0.286,0.5,0.5,1.0,1.1,5.1,6.2,1.9,0.5,1.1,0.8,4.6,2.7,,koncajo01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,koncajo01,
1992-93,29.0,ATL,NBA,C,3.0,3.0,89.0,0.4,4.0,0.1,0.0,0.0,0.4,4.0,0.1,0.1,0.4,0.8,0.5,3.2,6.5,9.7,1.6,1.2,2.0,0.8,3.6,1.2,,koncajo01,
