Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 12,Unnamed: 20,Unnamed: 25,Unnamed: 22,Unnamed: 28,Unnamed: 23,Unnamed: 26,Unnamed: 29,Unnamed: 30,Unnamed: 21,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 17,Unnamed: 18
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,barrean01,,,,,,,,,,,,,,,
2004-05,22,2TM,NBA,PG,38,1,483,.363,16.6,.581,.169,.081,.113,.218,.419,.431,.476,.200,.571,.407,.269,.452,.857,.000,0,.538,.321,1,0,,barrean01,,,,,,,,,,,,,,,
2004-05,22,HOU,NBA,PG,27,0,314,.290,17.4,.464,.159,.116,.043,.145,.536,.344,.364,.250,.667,.300,.243,.727,.889,.000,0,.568,.238,1,0,,barrean01,,,,,,,,,,,,,,,
2004-05,22,ORL,NBA,PG,11,1,169,.455,15.8,.727,.182,.036,.200,.309,.273,.500,.600,.000,.545,.471,.333,.300,.800,.000,0,.467,.571,0,0,,barrean01,,,,,,,,,,,,,,,
2005-06,23,2TM,NBA,PG,19,0,282,.365,12.8,.865,.308,.096,.077,.385,.135,.400,.469,.500,.500,.300,.143,.222,.500,.000,0,.429,.167,0,0,,barrean01,,,,,,,,,,,,,,,
2005-06,23,PHO,NBA,PG,2,0,21,.429,12.9,.857,.286,.000,.286,.286,.143,.500,.500,,.500,.500,.000,.333,,.000,0,1.000,.000,0,0,,barrean01,,,,,,,,,,,,,,,
2005-06,23,TOR,NBA,PG,17,0,261,.361,12.7,.866,.309,.103,.062,.392,.134,.393,.467,.500,.500,.289,.154,.212,.500,.000,0,.385,.200,0,0,,barrean01,,,,,,,,,,,,,,,
2006-07,24,CHI,NBA,PG,6,0,29,.500,7.7,1.000,.500,.000,.250,.250,.000,.500,.750,,.500,.000,,.500,,.000,0,,,0,0,,barrean01,,,,,,,,,,,,,,,
2007-08,25,LAC,NBA,PG,4,0,25,.400,22.3,.400,.000,.000,.200,.200,.600,.500,,,.000,1.000,.333,1.000,1.000,.000,0,.000,,0,0,,barrean01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,dayto01,,,,,,,,,,,,,,,
1996-97,27,BOS,NBA,SG,81,27,2277,.398,14.8,.652,.404,.081,.099,.066,.348,.418,.369,.494,.545,.424,.362,.592,.905,.014,14,.236,.427,0,0,,dayto01,,,,,,,,,,,,,,,
1997-98,28,MIA,NBA,SG,5,0,69,.355,17.8,.613,.194,.032,.032,.355,.387,.474,.833,1.000,1.000,.182,.167,.444,.500,.000,0,.250,.000,0,0,,dayto01,,,,,,,,,,,,,,,
1998-99,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dayto01,,,,,,,,,,,,,,,
1999-00,30,PHO,NBA,SG,58,1,941,.394,16.9,.500,.248,.088,.064,.103,.500,.400,.561,.310,.048,.294,.388,.561,.922,.006,1,.303,.400,0,0,,dayto01,,,,,,,,,,,,,,,
2000-01,31,MIN,NBA,SG,31,0,345,.373,17.4,.415,.186,.110,.042,.076,.585,.367,.545,.385,.000,.111,.377,.611,.962,.000,0,.290,.300,0,0,,dayto01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,reevekh01,,,,,,,,,,,,,,,
1996-97,24,2TM,NBA,PG,63,30,1432,.391,16.1,.517,.255,.074,.070,.117,.483,.416,.475,.343,.303,.400,.366,.277,.687,.000,0,.075,.412,1,0,,reevekh01,,,,,,,,,,,,,,,
1996-97,24,NJN,NBA,PG,50,18,1048,.393,17.8,.465,.251,.058,.047,.109,.535,.389,.433,.238,.353,.385,.396,.262,.671,.000,0,.089,.412,1,0,,reevekh01,,,,,,,,,,,,,,,
1996-97,24,DAL,NBA,PG,13,12,384,.387,14.3,.685,.270,.126,.144,.144,.315,.474,.600,.500,.250,.438,.200,.306,.857,.000,0,.000,,0,0,,reevekh01,,,,,,,,,,,,,,,
1997-98,25,DAL,NBA,PG,82,54,1950,.418,14.3,.744,.369,.101,.076,.197,.256,.435,.521,.317,.311,.385,.368,.292,.786,.000,0,.086,.615,2,1,,reevekh01,,,,,,,,,,,,,,,
1998-99,26,DET,NBA,PG,11,0,112,.381,12.4,.857,.333,.143,.143,.238,.143,.389,.714,.000,.333,.200,.333,.571,1.000,.000,0,.333,1.000,0,0,,reevekh01,,,,,,,,,,,,,,,
1999-00,27,CHI,NBA,PG,3,0,48,.250,14.3,.750,.500,.000,.000,.250,.250,.333,.500,,,.000,.000,.333,,.000,0,.000,,0,0,,reevekh01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,garbajo01,,,,,,,,,,,,,,,
2006-07,29,TOR,NBA,PF,67,60,1909,.420,18.3,.635,.113,.059,.049,.414,.365,.464,.550,.387,.423,.457,.342,.840,1.000,.004,1,.238,.348,0,0,ROY-8,garbajo01,,,,,,,,,,,,,,,
2007-08,30,TOR,NBA,PF,7,0,74,.320,22.4,.360,.040,.000,.000,.320,.640,.222,.000,,,.250,.375,1.000,1.000,.000,0,.313,.200,0,0,,garbajo01,,,,,,,,,,,,,,,
