Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 22,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 21,Unnamed: 25,Unnamed: 28,Unnamed: 12,Unnamed: 20,Unnamed: 17,Unnamed: 23,Unnamed: 29,Unnamed: 30,Unnamed: 26,Unnamed: 18
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,cookqu01,,,,,,,,,,,,,,,
2017-18,24,GSW,NBA,PG,17,0,175,.448,16.1,.537,.194,.119,.075,.149,.463,.639,.769,.375,.800,.600,.226,.478,.571,.000,0,.387,.167,1,0,,cookqu01,,,,,,,,,,,,,,,
2018-19,25,GSW,NBA,PG,17,0,193,.400,18.8,.514,.114,.057,.114,.229,.486,.472,.750,.750,.250,.375,.324,.471,.727,.000,0,.147,.200,0,0,,cookqu01,,,,,,,,,,,,,,,
2019-20,26,LAL,NBA,PG,6,0,24,.500,15.2,.600,.300,.100,.100,.100,.400,.500,.667,1.000,.000,.000,.500,.000,.000,.000,0,.000,,0,0,,cookqu01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,,,,%FGA,#,,,Att.,Md.,,delebi01,2P,Awards,,,,,,,,,,,,,
1996-97,27,CHI,NBA,C,19,0,336,.481,8.2,1.000,.529,.202,.221,.048,.000,.481,.527,.571,.304,.400,,,,.173,18,,,0,0,,delebi01,.660,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delebi01,,,,,,,,,,,,,,,
1998-99,29,DET,NBA,C,5,5,122,.600,9.1,1.000,.225,.250,.350,.175,.000,.600,.889,.300,.571,.714,,,,.075,3,,,0,0,,delebi01,.667,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,smithjr01,,,,,,,,,,,,,,,
2006-07,21,DEN,NBA,SG,4,0,47,.273,14.5,.455,.409,.000,.000,.045,.545,.600,.667,,,.000,.000,.333,,.136,3,.167,.000,0,0,,smithjr01,,,,,,,,,,,,,,,
2007-08,22,DEN,NBA,SG,4,0,108,.535,13.7,.488,.465,.000,.000,.023,.512,.762,.750,,,1.000,.318,.313,.714,.070,3,.000,,0,0,,smithjr01,,,,,,,,,,,,,,,
2008-09,23,DEN,NBA,SG,16,0,435,.454,18.7,.454,.196,.041,.062,.155,.546,.568,.684,.625,.500,.433,.358,.380,.842,.036,7,.123,.385,2,0,,smithjr01,,,,,,,,,,,,,,,
2009-10,24,DEN,NBA,SG,6,0,159,.368,19.2,.456,.175,.053,.053,.175,.544,.385,.700,.000,.333,.200,.355,.300,.818,.070,3,.097,1.000,1,0,,smithjr01,,,,,,,,,,,,,,,
2010-11,25,DEN,NBA,SF,5,0,76,.356,17.7,.533,.178,.067,.089,.200,.467,.292,.500,.000,.250,.222,.429,.429,.889,.022,1,.381,.500,0,0,,smithjr01,,,,,,,,,,,,,,,
2011-12,26,NYK,NBA,SG,5,0,175,.316,17.9,.632,.184,.053,.066,.329,.368,.396,.357,.500,.400,.400,.179,.105,.400,.026,2,.214,.333,2,0,,smithjr01,,,,,,,,,,,,,,,
2012-13,27,NYK,NBA,SG,11,0,351,.331,17.3,.595,.190,.086,.055,.264,.405,.371,.484,.500,.333,.256,.273,.111,.833,.025,4,.091,.667,2,0,,smithjr01,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smithjr01,,,,,,,,,,,,,,,
2014-15,29,CLE,NBA,SG,18,4,560,.403,21.5,.311,.073,.024,.092,.121,.689,.500,.867,.000,.368,.480,.359,.375,.784,.010,2,.218,.387,1,0,,smithjr01,,,,,,,,,,,,,,,
2015-16,30,CLE,NBA,SG,21,21,730,.436,22.2,.197,.080,.053,.032,.032,.803,.459,.800,.100,.333,.333,.430,.471,.938,.032,6,.238,.583,2,0,,smithjr01,,,,,,,,,,,,,,,
2016-17,31,CLE,NBA,SG,18,18,487,.505,22.6,.192,.071,.030,.040,.061,.808,.526,.714,.000,.500,.500,.500,.600,.925,.020,2,.375,.467,0,0,,smithjr01,,,,,,,,,,,,,,,
2017-18,32,CLE,NBA,SG,22,21,706,.348,20.4,.358,.064,.112,.053,.128,.642,.313,.667,.286,.300,.167,.367,.524,.909,.005,0,.267,.563,1,1,,smithjr01,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smithjr01,,,,,,,,,,,,,,,
2019-20,34,LAL,NBA,SG,10,0,75,.269,22.1,.154,.038,.038,.077,.000,.846,.250,1.000,.000,.000,,.273,.000,.833,.000,0,.500,.455,0,0,,smithjr01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,,,,,,,%FGA,#,,,Att.,Md.,,davisde01,,,2P,Awards,,,,,,,,,,,
2016-17,20,MEM,NBA,C,3,0,11,.600,1.0,1.000,1.000,.000,.000,.000,.000,.600,.600,,,,,,,.400,2,,,0,0,,davisde01,,,.667,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,3P,,,,,%FGA,#,,,Att.,Md.,,adamsja01,,Awards,,%3PA,2P,,,,,,,,,,
