Highlight,Unnamed: 2,In Stathead,player_id
"Career high, Points",31.0,View full stats from top 20 games,okafoja01
"Career high, Rebounds",17.0,View full stats from top 20 games,okafoja01
"Career high, Assists",6.0,View full stats from top 20 games,okafoja01
"Career high, Steals",3.0,View full stats from top 20 games,okafoja01
"Career high, Blocks",6.0,View full stats from top 20 games,okafoja01
"Career high, Game Score",26.8,View full stats from top 20 games,okafoja01
"Career high, Points",13.0,View full stats from top 20 games,martija02
"Career high, Rebounds",7.0,View full stats from top 20 games,martija02
"Career high, Assists",3.0,View full stats from top 20 games,martija02
"Career high, Steals",4.0,View full stats from top 20 games,martija02
"Career high, Game Score",11.5,View full stats from top 20 games,martija02
"Career high, Points",25.0,View full stats from top 20 games,sandela01
"Career high, Rebounds",20.0,View full stats from top 20 games,sandela01
"Career high, Assists",5.0,View full stats from top 20 games,sandela01
"Career high, Steals",4.0,View full stats from top 20 games,sandela01
"Career high, Blocks",10.0,View full stats from top 20 games,sandela01
"Career high, Game Score",23.5,View full stats from top 20 games,sandela01
Triple-Doubles,1.0,View all,sandela01
"Career high, Points",23.0,View full stats from top 20 games,rolliry01
"Career high, Rebounds",7.0,View full stats from top 20 games,rolliry01
"Career high, Assists",10.0,View full stats from top 20 games,rolliry01
"Career high, Steals",5.0,View full stats from top 20 games,rolliry01
"Career high, Blocks",3.0,View full stats from top 20 games,rolliry01
"Career high, Game Score",23.4,View full stats from top 20 games,rolliry01
"Career high, Points",2.0,View full stats from top 20 games,brownda01
"Career high, Points",36.0,View full stats from top 20 games,anderry01
"Career high, Rebounds",20.0,View full stats from top 20 games,anderry01
"Career high, Assists",5.0,View full stats from top 20 games,anderry01
"Career high, Steals",5.0,View full stats from top 20 games,anderry01
"Career high, Blocks",3.0,View full stats from top 20 games,anderry01
"Career high, Game Score",28.6,View full stats from top 20 games,anderry01
"Career high, Points",12.0,View full stats from top 20 games,richama01
"Career high, Rebounds",7.0,View full stats from top 20 games,richama01
"Career high, Assists",2.0,View full stats from top 20 games,richama01
"Career high, Steals",1.0,View full stats from top 20 games,richama01
"Career high, Blocks",1.0,View full stats from top 20 games,richama01
"Career high, Game Score",10.6,View full stats from top 20 games,richama01
"Career high, Points",13.0,View full stats from top 20 games,pearcge01
"Career high, Points",15.0,View full stats from top 20 games,ortizjo01
"Career high, Rebounds",6.0,View full stats from top 20 games,ortizjo01
"Career high, Assists",4.0,View full stats from top 20 games,ortizjo01
"Career high, Steals",1.0,View full stats from top 20 games,ortizjo01
"Career high, Blocks",2.0,View full stats from top 20 games,ortizjo01
"Career high, Game Score",10.6,View full stats from top 20 games,ortizjo01
"Career high, Points",35.0,View full stats from top 20 games,aytonde01
"Career high, Rebounds",23.0,View full stats from top 20 games,aytonde01
"Career high, Assists",8.0,View full stats from top 20 games,aytonde01
"Career high, Steals",5.0,View full stats from top 20 games,aytonde01
"Career high, Blocks",5.0,View full stats from top 20 games,aytonde01
"Career high, Game Score",36.7,View full stats from top 20 games,aytonde01
"Career high, Points",15.0,View full stats from top 20 games,hendeda01
"Career high, Rebounds",5.0,View full stats from top 20 games,hendeda01
"Career high, Assists",5.0,View full stats from top 20 games,hendeda01
"Career high, Steals",2.0,View full stats from top 20 games,hendeda01
"Career high, Blocks",4.0,View full stats from top 20 games,hendeda01
"Career high, Game Score",11.1,View full stats from top 20 games,hendeda01
"Career high, Points",12.0,View full stats from top 20 games,mcdonro01
"Career high, Rebounds",9.0,View full stats from top 20 games,mcdonro01
"Career high, Assists",4.0,View full stats from top 20 games,mcdonro01
"Career high, Blocks",2.0,View full stats from top 20 games,mcdonro01
"Career high, Game Score",2.4,View full stats from top 20 games,mcdonro01
"Career high, Points",25.0,View full stats from top 20 games,garrede01
"Career high, Rebounds",21.0,View full stats from top 20 games,garrede01
"Career high, Assists",4.0,View full stats from top 20 games,garrede01
"Career high, Steals",4.0,View full stats from top 20 games,garrede01
"Career high, Blocks",7.0,View full stats from top 20 games,garrede01
"Career high, Game Score",24.4,View full stats from top 20 games,garrede01
