Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,player_id
1995-96,23.0,IND,NBA,PG,5.0,0.0,84.0,11.0,22.0,0.5,1.0,6.0,0.167,10.0,16.0,0.625,0.523,6.0,7.0,0.857,3.0,8.0,11.0,9.0,6.0,0.0,10.0,10.0,29.0,0.0,,besttr01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,besttr01
1997-98,25.0,IND,NBA,PG,16.0,0.0,280.0,27.0,72.0,0.375,5.0,18.0,0.278,22.0,54.0,0.407,0.41,38.0,43.0,0.884,1.0,15.0,16.0,31.0,11.0,3.0,19.0,36.0,97.0,0.0,,besttr01
1998-99,26.0,IND,NBA,PG,11.0,0.0,150.0,16.0,46.0,0.348,2.0,10.0,0.2,14.0,36.0,0.389,0.37,12.0,13.0,0.923,7.0,10.0,17.0,21.0,4.0,1.0,14.0,34.0,46.0,0.0,,besttr01
1999-00,27.0,IND,NBA,PG,23.0,0.0,463.0,77.0,179.0,0.43,13.0,30.0,0.433,64.0,149.0,0.43,0.466,37.0,44.0,0.841,15.0,42.0,57.0,66.0,19.0,4.0,25.0,61.0,204.0,0.0,,besttr01
2000-01,28.0,IND,NBA,PG,4.0,4.0,163.0,17.0,39.0,0.436,1.0,3.0,0.333,16.0,36.0,0.444,0.449,4.0,4.0,1.0,6.0,13.0,19.0,37.0,4.0,0.0,6.0,15.0,39.0,0.0,,besttr01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,besttr01
2004-05,32.0,NJN,NBA,PG,4.0,0.0,82.0,9.0,22.0,0.409,1.0,9.0,0.111,8.0,13.0,0.615,0.432,8.0,9.0,0.889,2.0,4.0,6.0,9.0,1.0,0.0,3.0,9.0,27.0,0.0,,besttr01
1984-85,24.0,WSB,NBA,PF,4.0,4.0,123.0,25.0,56.0,0.446,0.0,0.0,,25.0,56.0,0.446,0.446,9.0,12.0,0.75,12.0,18.0,30.0,4.0,4.0,2.0,3.0,14.0,59.0,0.0,,robincl01
1985-86,25.0,WSB,NBA,SF,5.0,5.0,177.0,46.0,93.0,0.495,0.0,0.0,,46.0,93.0,0.495,0.495,15.0,31.0,0.484,17.0,26.0,43.0,17.0,10.0,3.0,15.0,19.0,107.0,0.0,,robincl01
1986-87,26.0,PHI,NBA,PF,5.0,5.0,138.0,30.0,61.0,0.492,0.0,0.0,,30.0,61.0,0.492,0.492,13.0,15.0,0.867,10.0,33.0,43.0,6.0,3.0,7.0,8.0,15.0,73.0,0.0,,robincl01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robincl01
1991-92,31.0,LAL,NBA,PF,3.0,0.0,24.0,3.0,10.0,0.3,0.0,0.0,,3.0,10.0,0.3,0.3,5.0,8.0,0.625,2.0,4.0,6.0,1.0,3.0,1.0,2.0,6.0,11.0,0.0,,robincl01
2019-20,24.0,BRK,NBA,PG,4.0,0.0,65.0,8.0,24.0,0.333,5.0,16.0,0.313,3.0,8.0,0.375,0.438,2.0,4.0,0.5,1.0,5.0,6.0,17.0,5.0,0.0,3.0,7.0,23.0,0.0,,chiozch01
2020-21,25.0,BRK,NBA,PG,6.0,0.0,19.0,2.0,7.0,0.286,1.0,3.0,0.333,1.0,4.0,0.25,0.357,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,,chiozch01
1946-47,28.0,CLR,BAA,,3.0,,,6.0,22.0,0.273,,,,,,,,3.0,5.0,0.6,,,,0.0,,,,6.0,15.0,0.0,,shabani01
1993-94,26.0,DEN,NBA,PF,8.0,0.0,49.0,2.0,9.0,0.222,0.0,0.0,,2.0,9.0,0.222,0.222,5.0,6.0,0.833,5.0,8.0,13.0,2.0,0.0,0.0,1.0,6.0,9.0,0.0,,hammoto01
1994-95,27.0,DEN,NBA,PF,3.0,0.0,44.0,9.0,14.0,0.643,0.0,0.0,,9.0,14.0,0.643,0.643,2.0,6.0,0.333,3.0,4.0,7.0,1.0,0.0,2.0,4.0,12.0,20.0,0.0,,hammoto01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammoto01
1997-98,30.0,MIN,NBA,PF,5.0,1.0,113.0,12.0,28.0,0.429,0.0,0.0,,12.0,28.0,0.429,0.429,12.0,16.0,0.75,10.0,12.0,22.0,2.0,0.0,1.0,4.0,18.0,36.0,0.0,,hammoto01
1998-99,31.0,MIN,NBA,PF,4.0,0.0,18.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,4.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,,hammoto01
1999-00,32.0,MIN,NBA,PF,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,hammoto01
1998-99,22.0,ORL,NBA,SF,4.0,0.0,82.0,12.0,26.0,0.462,1.0,5.0,0.2,11.0,21.0,0.524,0.481,8.0,11.0,0.727,7.0,13.0,20.0,7.0,1.0,0.0,5.0,9.0,33.0,0.0,,harprma01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harprma01
2001-02,25.0,PHI,NBA,SF,5.0,5.0,119.0,22.0,44.0,0.5,0.0,0.0,,22.0,44.0,0.5,0.5,7.0,9.0,0.778,13.0,13.0,26.0,7.0,5.0,0.0,5.0,12.0,51.0,0.0,,harprma01
2002-03,26.0,UTA,NBA,SF,5.0,5.0,156.0,30.0,62.0,0.484,1.0,7.0,0.143,29.0,55.0,0.527,0.492,13.0,16.0,0.813,9.0,18.0,27.0,5.0,5.0,1.0,8.0,23.0,74.0,0.0,,harprma01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harprma01
2006-07,30.0,UTA,NBA,SF,17.0,0.0,433.0,62.0,136.0,0.456,0.0,4.0,0.0,62.0,132.0,0.47,0.456,34.0,47.0,0.723,33.0,49.0,82.0,23.0,7.0,3.0,22.0,41.0,158.0,0.0,,harprma01
2007-08,31.0,UTA,NBA,SF,12.0,0.0,209.0,25.0,63.0,0.397,1.0,3.0,0.333,24.0,60.0,0.4,0.405,28.0,35.0,0.8,17.0,17.0,34.0,8.0,7.0,4.0,11.0,35.0,79.0,0.0,,harprma01
2008-09,32.0,UTA,NBA,SG,5.0,0.0,49.0,11.0,22.0,0.5,0.0,1.0,0.0,11.0,21.0,0.524,0.5,2.0,2.0,1.0,3.0,6.0,9.0,4.0,2.0,1.0,2.0,12.0,24.0,0.0,,harprma01
2006-07,26.0,GSW,NBA,SG,11.0,11.0,428.0,81.0,170.0,0.476,29.0,82.0,0.354,52.0,88.0,0.591,0.562,19.0,27.0,0.704,24.0,50.0,74.0,22.0,14.0,5.0,24.0,38.0,210.0,0.0,,richaja01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,richaja01
2009-10,29.0,PHO,NBA,SG,16.0,16.0,533.0,112.0,223.0,0.502,48.0,101.0,0.475,64.0,122.0,0.525,0.61,44.0,58.0,0.759,18.0,69.0,87.0,17.0,17.0,4.0,10.0,35.0,316.0,0.0,,richaja01
2010-11,30.0,ORL,NBA,SG,5.0,5.0,153.0,17.0,51.0,0.333,8.0,25.0,0.32,9.0,26.0,0.346,0.412,8.0,8.0,1.0,5.0,15.0,20.0,6.0,3.0,2.0,3.0,16.0,50.0,0.0,,richaja01
2011-12,31.0,ORL,NBA,SG,5.0,5.0,148.0,21.0,53.0,0.396,10.0,27.0,0.37,11.0,26.0,0.423,0.491,5.0,12.0,0.417,4.0,15.0,19.0,5.0,6.0,2.0,6.0,7.0,57.0,0.0,,richaja01
1967-68,27.0,DET,NBA,SF,6.0,,154.0,21.0,56.0,0.375,,,,,,,,14.0,19.0,0.737,,,29.0,9.0,,,,19.0,56.0,0.0,,dischte01
1981-82,23.0,NJN,NBA,SF,2.0,,44.0,3.0,11.0,0.273,0.0,1.0,0.0,3.0,10.0,0.3,0.273,1.0,2.0,0.5,0.0,8.0,8.0,3.0,1.0,0.0,2.0,8.0,7.0,0.0,,okoremi01
1982-83,24.0,NJN,NBA,SF,2.0,,18.0,2.0,8.0,0.25,0.0,0.0,,2.0,8.0,0.25,0.25,0.0,0.0,,1.0,5.0,6.0,3.0,0.0,0.0,2.0,3.0,4.0,0.0,,okoremi01
1983-84,25.0,NJN,NBA,SF,11.0,,216.0,25.0,59.0,0.424,0.0,1.0,0.0,25.0,58.0,0.431,0.424,5.0,6.0,0.833,18.0,17.0,35.0,21.0,3.0,4.0,12.0,37.0,55.0,0.0,,okoremi01
